"date","high_price","low_price","closing_price","average_price","total_volume","turnover"
2024-05-23,2648.2,2631.39,2641.47,NA,1,NA
2024-05-22,2638.31,2623.51,2634.51,NA,1,NA
2024-05-21,2631.76,2615.58,2631.49,NA,1,NA
2024-05-20,2632.17,2607.93,2632.17,NA,1,NA
2024-05-17,2609.37,2591.01,2602.2,NA,1,NA
2024-05-16,2629.24,2602.44,2608.82,NA,1,NA
2024-05-15,2642.72,2619.79,2627.52,NA,1,NA
2024-05-14,2634.73,2617.85,2632.85,NA,1,NA
2024-05-13,2628.89,2616.98,2624.76,NA,1,NA
2024-05-10,2633.95,2606.24,2627.87,NA,1,NA
2024-05-08,2606.18,2588.39,2589.1,NA,1,NA
2024-05-07,2593.17,2561.83,2593.17,NA,1,NA
2024-05-06,2563.92,2541.4,2563.79,NA,1,NA
2024-05-03,2550.33,2524.78,2540.08,NA,1,NA
2024-05-02,2547.07,2522.71,2525.21,NA,1,NA
2024-04-30,2568.2,2539.27,2556.4,NA,1,NA
2024-04-29,2572.75,2563.54,2566.81,NA,1,NA
2024-04-26,2565.19,2534.04,2557.69,NA,1,NA
2024-04-25,2544.91,2507.92,2525.4,NA,1,NA
2024-04-24,2555.02,2522.67,2543.21,NA,1,NA
2024-04-23,2548.97,2516.86,2546.33,NA,1,NA
2024-04-22,2525.5,2506.58,2511.41,NA,1,NA
2024-04-18,2524.19,2498.97,2517.69,NA,1,NA
2024-04-15,2548.28,2517.25,2523.4,NA,1,NA
2024-04-12,2540.53,2503.5,2506.99,NA,1,NA
2024-04-11,2518.95,2476.61,2499.7,NA,1,NA
2024-04-10,2539.19,2499.65,2519.05,NA,1,NA
2024-04-09,2528.49,2509.03,2513.5,NA,1,NA
2024-04-08,2527.16,2505.9,2522.36,NA,1,NA
2024-04-05,2505.61,2482.93,2504.8,NA,1,NA
2024-04-04,2524.62,2508.95,2521.86,NA,1,NA
2024-04-03,2517.75,2500.07,2513.52,NA,1,NA
2024-04-02,2540.32,2501.88,2508.65,NA,1,NA
2024-03-28,2542.25,2516.29,2518.27,NA,1,NA
2024-03-27,2557.52,2532.48,2537.37,NA,1,NA
2024-03-26,2552.03,2518.21,2547.97,NA,1,NA
2024-03-25,2542.91,2517.51,2526.07,NA,1,NA
