date,bid,ask,open,high,low,close,average,total_volume,turnover,trades
2024-05-24,,,2620.89,2626.39,2607.7,2624.5,,1,,0.0
2024-05-23,,,2637.46,2648.2,2631.39,2641.47,,1,,0.0
2024-05-22,,,2632.2,2638.31,2623.51,2634.51,,1,,0.0
2024-05-21,,,2627.65,2631.76,2615.58,2631.49,,1,,0.0
2024-05-20,,,2607.93,2632.17,2607.93,2632.17,,1,,0.0
2024-05-17,,,2605.01,2609.37,2591.01,2602.2,,1,,0.0
2024-05-16,,,2628.52,2629.24,2602.44,2608.82,,1,,0.0
2024-05-15,,,2639.97,2642.72,2619.79,2627.52,,1,,0.0
2024-05-14,,,2624.8,2634.73,2617.85,2632.85,,1,,0.0
2024-05-13,,,2625.9,2628.89,2616.98,2624.76,,1,,0.0
2024-05-10,,,2615.82,2633.95,2606.24,2627.87,,1,,0.0
2024-05-08,,,2589.1,2606.18,2588.39,2589.1,,1,,0.0
2024-05-07,,,2574.94,2593.17,2561.83,2593.17,,1,,0.0
2024-05-06,,,2549.19,2563.92,2541.4,2563.79,,1,,0.0
2024-05-03,,,2535.01,2550.33,2524.78,2540.08,,1,,0.0
2024-05-02,,,2544.09,2547.07,2522.71,2525.21,,1,,0.0
2024-04-30,,,2565.75,2568.2,2539.27,2556.4,,1,,0.0
2024-04-29,,,2566.54,2572.75,2563.54,2566.81,,1,,0.0
2024-04-26,,,2536.32,2565.19,2534.04,2557.69,,1,,0.0
2024-04-25,,,2542.36,2544.91,2507.92,2525.4,,1,,0.0
2024-04-24,,,2544.07,2555.02,2522.67,2543.21,,1,,0.0
2024-04-23,,,2522.34,2548.97,2516.86,2546.33,,1,,0.0
2024-04-22,,,2518.47,2525.5,2506.58,2511.41,,1,,0.0
2024-04-18,,,2522.71,2524.19,2498.97,2517.69,,1,,0.0
2024-04-15,,,2519.88,2548.28,2517.25,2523.4,,1,,0.0
2024-04-12,,,2521.6,2540.53,2503.5,2506.99,,1,,0.0
2024-04-11,,,2513.21,2518.95,2476.61,2499.7,,1,,0.0
2024-04-10,,,2526.07,2539.19,2499.65,2519.05,,1,,0.0
2024-04-09,,,2519.3,2528.49,2509.03,2513.5,,1,,0.0
2024-04-08,,,2512.38,2527.16,2505.9,2522.36,,1,,0.0
2024-04-05,,,2491.64,2505.61,2482.93,2504.8,,1,,0.0
2024-04-04,,,2514.53,2524.62,2508.95,2521.86,,1,,0.0
2024-04-03,,,2508.52,2517.75,2500.07,2513.52,,1,,0.0
2024-04-02,,,2529.41,2540.32,2501.88,2508.65,,1,,0.0
2024-03-28,,,2538.72,2542.25,2516.29,2518.27,,1,,0.0
2024-03-27,,,2544.55,2557.52,2532.48,2537.37,,1,,0.0
2024-03-26,,,2524.2,2552.03,2518.21,2547.97,,1,,0.0
2024-03-25,,,2533.84,2542.91,2517.51,2526.07,,1,,0.0
2024-03-22,,,2533.17,2555.43,2531.25,2534.34,,1,,0.0
2024-03-21,,,2528.57,2551.09,2524.61,2550.5,,1,,0.0
2024-03-20,,,2504.81,2519.03,2495.14,2510.44,,1,,0.0
2024-03-19,,,2497.06,2515.12,2495.75,2514.92,,1,,0.0
2024-03-18,,,2534.55,2536.18,2502.06,2504.8,,1,,0.0
2024-03-13,,,2527.35,2531.8,2512.93,2527.46,,1,,0.0
2024-03-12,,,2489.27,2526.09,2488.6,2521.91,,1,,0.0
2024-03-11,,,2472.4,2481.5,2466.75,2479.35,,1,,0.0
2024-03-08,,,2475.08,2495.85,2471.44,2487.7,,1,,0.0
2024-03-07,,,2450.02,2478.76,2440.9,2471.57,,1,,0.0
2024-03-06,,,2445.94,2462.73,2442.67,2460.81,,1,,0.0
2024-03-04,,,2465.31,2465.31,2448.22,2455.36,,1,,0.0
2024-03-01,,,2463.69,2472.75,2456.41,2461.49,,1,,0.0
2024-02-29,,,2451.93,2459.91,2440.44,2452.81,,1,,0.0
2024-02-28,,,2438.96,2451.43,2438.96,2447.21,,1,,0.0
2024-02-27,,,2439.07,2444.2,2432.41,2442.22,,1,,0.0
2024-02-26,,,2434.66,2443.46,2430.71,2438.64,,1,,0.0
2024-02-23,,,2424.05,2437.16,2417.13,2435.45,,1,,0.0
2024-02-22,,,2433.83,2442.31,2419.93,2426.38,,1,,0.0
2024-02-21,,,2415.41,2417.71,2403.17,2414.97,,1,,0.0
2024-02-20,,,2411.51,2417.03,2402.28,2414.79,,1,,0.0
2024-02-19,,,2401.41,2414.02,2401.0,2410.33,,1,,0.0
2024-02-16,,,2393.59,2415.19,2392.59,2408.92,,1,,0.0
2024-02-15,,,2374.61,2389.63,2374.3,2385.24,,1,,0.0
2024-02-14,,,2349.25,2366.14,2348.87,2362.07,,1,,0.0
2024-02-13,,,2365.23,2366.1,2339.81,2352.77,,1,,0.0
2024-02-12,,,2357.78,2368.74,2357.31,2367.5,,1,,0.0
2024-02-09,,,2358.68,2366.89,2345.7,2352.42,,1,,0.0
2024-02-08,,,2362.79,2365.93,2352.47,2358.49,,1,,0.0
2024-02-07,,,2357.08,2365.13,2353.17,2356.43,,1,,0.0
2024-02-06,,,2353.2,2360.7,2339.63,2357.52,,1,,0.0
2024-02-05,,,2366.76,2368.17,2336.2,2339.89,,1,,0.0
2024-02-02,,,2382.27,2384.99,2367.9,2367.9,,1,,0.0
2024-02-01,,,2352.86,2380.2,2349.95,2364.81,,1,,0.0
2024-01-31,,,2370.31,2371.24,2355.75,2356.6,,1,,0.0
2024-01-30,,,2376.04,2379.78,2361.97,2368.36,,1,,0.0
2024-01-29,,,2363.7,2376.84,2353.59,2368.06,,1,,0.0
2024-01-26,,,2351.65,2372.03,2346.31,2370.13,,1,,0.0
2024-01-25,,,2342.73,2364.1,2336.06,2362.73,,1,,0.0
2024-01-24,,,2357.44,2363.39,2343.79,2351.1,,1,,0.0
2024-01-23,,,2338.24,2345.14,2324.58,2337.48,,1,,0.0
2024-01-22,,,2314.87,2333.84,2314.87,2330.55,,1,,0.0
2024-01-18,,,2301.38,2316.39,2293.73,2309.95,,1,,0.0
2024-01-17,,,2298.51,2302.54,2285.87,2297.85,,1,,0.0
2024-01-16,,,2329.99,2330.8,2315.85,2323.79,,1,,0.0
2024-01-15,,,2359.64,2360.75,2334.45,2340.47,,1,,0.0
2024-01-12,,,2342.66,2360.56,2342.0,2355.96,,1,,0.0
2024-01-11,,,2358.98,2367.53,2333.31,2336.25,,1,,0.0
2024-01-10,,,2341.71,2347.94,2335.31,2341.94,,1,,0.0
2024-01-09,,,2360.89,2361.72,2332.79,2344.72,,1,,0.0
2024-01-08,,,2342.92,2357.82,2330.07,2357.77,,1,,0.0
2024-01-05,,,2351.27,2354.32,2335.89,2337.86,,1,,0.0
2024-01-04,,,2359.29,2364.72,2347.15,2361.9,,1,,0.0
2024-01-03,,,2393.91,2396.13,2345.82,2356.64,,1,,0.0
2024-01-02,,,2402.39,2418.15,2384.79,2394.93,,1,,0.0
2023-12-29,,,2391.01,2403.19,2390.87,2396.07,,1,,0.0
2023-12-28,,,2396.23,2398.91,2384.45,2389.01,,1,,0.0
2023-12-27,,,2380.31,2398.86,2378.43,2390.28,,1,,0.0
2023-12-22,,,2367.19,2384.03,2365.09,2377.05,,1,,0.0
2023-12-21,,,2382.35,2382.93,2364.94,2375.14,,1,,0.0
2023-12-20,,,2387.49,2394.61,2376.72,2390.84,,1,,0.0
2023-12-19,,,2376.86,2391.41,2376.86,2384.54,,1,,0.0
2023-12-18,,,2375.14,2384.7,2371.53,2374.17,,1,,0.0
2023-12-15,,,2373.35,2395.44,2373.35,2386.43,,1,,0.0
2023-12-14,,,2356.64,2369.17,2351.5,2365.25,,1,,0.0
2023-12-13,,,2336.72,2343.26,2322.75,2322.75,,1,,0.0
2023-12-12,,,2336.82,2343.29,2331.92,2334.73,,1,,0.0
2023-12-11,,,2314.79,2340.31,2312.36,2339.78,,1,,0.0
2023-12-08,,,2288.46,2318.94,2286.76,2313.01,,1,,0.0
2023-12-07,,,2288.03,2294.16,2279.82,2287.13,,1,,0.0
2023-12-06,,,2271.88,2296.33,2265.22,2289.64,,1,,0.0
2023-12-05,,,2249.04,2270.27,2249.03,2267.8,,1,,0.0
2023-12-04,,,2250.43,2265.19,2248.64,2253.8,,1,,0.0
2023-12-01,,,2237.36,2255.21,2236.51,2250.21,,1,,0.0
2023-11-30,,,2233.78,2245.15,2227.38,2232.46,,1,,0.0
2023-11-29,,,2212.71,2239.51,2212.05,2233.0,,1,,0.0
2023-11-28,,,2219.35,2223.41,2209.0,2214.81,,1,,0.0
2023-11-27,,,2227.57,2232.52,2219.12,2226.85,,1,,0.0
2023-11-24,,,2223.43,2231.5,2222.78,2229.37,,1,,0.0
2023-11-23,,,2217.22,2231.59,2213.41,2226.34,,1,,0.0
2023-11-22,,,2203.52,2223.21,2202.52,2213.18,,1,,0.0
2023-11-21,,,2206.05,2208.52,2192.72,2197.08,,1,,0.0
2023-11-20,,,2200.96,2208.97,2192.81,2206.34,,1,,0.0
2023-11-17,,,2181.55,2203.83,2181.35,2198.83,,1,,0.0
2023-11-16,,,2189.79,2190.28,2167.13,2171.53,,1,,0.0
2023-11-15,,,2175.15,2199.03,2173.97,2192.97,,1,,0.0
2023-11-14,,,2126.93,2170.0,2121.94,2169.98,,1,,0.0
2023-11-13,,,2125.3,2131.07,2116.19,2122.63,,1,,0.0
2023-11-10,,,2122.16,2124.53,2102.71,2115.38,,1,,0.0
2023-11-09,,,2114.8,2140.2,2112.25,2137.98,,1,,0.0
2023-11-08,,,2106.39,2125.12,2102.8,2114.32,,1,,0.0
2023-11-07,,,2112.32,2124.89,2107.14,2116.06,,1,,0.0
2023-11-06,,,2140.33,2141.23,2112.24,2123.5,,1,,0.0
2023-11-03,,,2122.43,2134.05,2120.39,2126.76,,1,,0.0
2023-11-02,,,2086.63,2123.11,2086.57,2110.8,,1,,0.0
2023-11-01,,,2081.81,2085.97,2060.3,2073.43,,1,,0.0
2023-10-31,,,2060.08,2083.61,2059.78,2075.79,,1,,0.0
2023-10-30,,,2049.66,2065.68,2048.95,2057.14,,1,,0.0
2023-10-27,,,2065.46,2073.94,2042.65,2049.65,,1,,0.0
2023-10-26,,,2047.38,2072.24,2036.88,2064.55,,1,,0.0
2023-10-25,,,2072.91,2085.2,2055.67,2073.84,,1,,0.0
2023-10-24,,,2066.04,2078.47,2050.23,2074.19,,1,,0.0
2023-10-23,,,2086.69,2087.75,2051.75,2066.5,,1,,0.0
2023-10-20,,,2100.0,2100.98,2076.24,2077.66,,1,,0.0
2023-10-19,,,2132.25,2148.74,2117.8,2121.83,,1,,0.0
2023-10-18,,,2167.59,2177.98,2142.83,2144.44,,1,,0.0
2023-10-17,,,2185.12,2185.6,2154.93,2172.25,,1,,0.0
2023-10-16,,,2193.21,2201.56,2177.76,2190.78,,1,,0.0
2023-10-13,,,2205.74,2208.87,2185.96,2189.84,,1,,0.0
2023-10-12,,,2208.23,2235.9,2208.23,2212.13,,1,,0.0
2023-10-11,,,2186.41,2197.2,2182.34,2193.71,,1,,0.0
2023-10-10,,,2155.28,2195.07,2154.68,2193.06,,1,,0.0
2023-10-09,,,2145.94,2151.19,2130.54,2133.26,,1,,0.0
2023-10-06,,,2131.45,2154.02,2127.39,2154.02,,1,,0.0
2023-10-05,,,2118.82,2140.01,2118.8,2127.06,,1,,0.0
2023-10-04,,,2111.14,2125.01,2104.7,2116.77,,1,,0.0
2023-10-03,,,2136.14,2149.22,2121.17,2125.06,,1,,0.0
2023-10-02,,,2157.47,2174.25,2135.96,2145.97,,1,,0.0
2023-09-29,,,2144.42,2165.04,2144.15,2155.49,,1,,0.0
2023-09-28,,,2127.8,2138.58,2119.11,2137.65,,1,,0.0
2023-09-27,,,2135.53,2145.46,2126.78,2130.32,,1,,0.0
2023-09-26,,,2148.34,2148.98,2124.97,2133.16,,1,,0.0
2023-09-25,,,2161.72,2170.8,2141.86,2156.12,,1,,0.0
2023-09-22,,,2169.61,2176.87,2162.69,2165.94,,1,,0.0
2023-09-21,,,2186.89,2188.63,2170.83,2178.82,,1,,0.0
2023-09-20,,,2178.37,2206.98,2177.57,2202.45,,1,,0.0
2023-09-19,,,2182.08,2191.18,2170.88,2177.2,,1,,0.0
2023-09-18,,,2194.2,2196.43,2182.01,2187.02,,1,,0.0
2023-09-15,,,2200.93,2212.19,2194.72,2195.2,,1,,0.0
2023-09-14,,,2162.14,2194.08,2157.82,2190.2,,1,,0.0
2023-09-13,,,2168.98,2171.68,2148.21,2162.46,,1,,0.0
2023-09-12,,,2187.55,2190.88,2173.98,2177.12,,1,,0.0
2023-09-11,,,2181.39,2193.24,2177.68,2184.56,,1,,0.0
2023-09-08,,,2190.15,2192.13,2162.98,2176.34,,1,,0.0
2023-09-07,,,2195.07,2206.05,2177.45,2185.58,,1,,0.0
2023-09-06,,,2196.96,2208.46,2184.75,2202.57,,1,,0.0
2023-09-05,,,2188.85,2210.15,2186.17,2203.7,,1,,0.0
2023-09-04,,,2192.98,2208.69,2192.54,2193.76,,1,,0.0
2023-09-01,,,2179.53,2200.09,2175.81,2186.21,,1,,0.0
2023-08-31,,,2186.31,2195.33,2179.74,2184.74,,1,,0.0
2023-08-30,,,2196.09,2198.41,2178.75,2185.08,,1,,0.0
2023-08-29,,,2179.94,2194.44,2179.63,2191.46,,1,,0.0
2023-08-28,,,2163.04,2177.89,2161.22,2174.31,,1,,0.0
2023-08-25,,,2134.18,2164.62,2133.48,2148.47,,1,,0.0
2023-08-24,,,2166.2,2178.42,2144.83,2145.74,,1,,0.0
2023-08-23,,,2155.89,2161.48,2148.74,2154.7,,1,,0.0
2023-08-22,,,2150.17,2163.01,2143.06,2153.65,,1,,0.0
2023-08-21,,,2141.6,2159.76,2137.65,2139.03,,1,,0.0
2023-08-18,,,2142.28,2150.06,2132.09,2145.66,,1,,0.0
2023-08-17,,,2164.45,2167.58,2151.4,2154.56,,1,,0.0
2023-08-16,,,2168.03,2185.5,2166.39,2180.56,,1,,0.0
2023-08-15,,,2203.48,2204.3,2172.52,2178.5,,1,,0.0
2023-08-14,,,2193.5,2210.1,2191.27,2203.3,,1,,0.0
2023-08-11,,,2217.08,2217.62,2195.61,2203.4,,1,,0.0
2023-08-10,,,2215.39,2230.91,2212.81,2223.17,,1,,0.0
2023-08-09,,,2207.21,2226.22,2206.91,2209.52,,1,,0.0
2023-08-08,,,2196.35,2210.44,2187.08,2194.44,,1,,0.0
2023-08-07,,,2201.84,2209.83,2192.35,2209.83,,1,,0.0
2023-08-04,,,2201.49,2213.86,2192.24,2209.64,,1,,0.0
2023-08-03,,,2211.32,2214.34,2189.73,2196.59,,1,,0.0
2023-08-02,,,2227.64,2229.43,2199.59,2222.74,,1,,0.0
2023-08-01,,,2247.05,2252.86,2239.92,2240.12,,1,,0.0
2023-07-31,,,2249.59,2256.82,2245.05,2250.92,,1,,0.0
2023-07-28,,,2248.47,2258.64,2246.35,2253.85,,1,,0.0
2023-07-27,,,2245.1,2265.78,2237.01,2254.15,,1,,0.0
2023-07-26,,,2255.76,2255.76,2220.08,2235.23,,1,,0.0
2023-07-25,,,2244.15,2261.8,2233.16,2259.09,,1,,0.0
2023-07-24,,,2218.66,2244.18,2217.99,2243.81,,1,,0.0
2023-07-21,,,2211.6,2228.8,2202.29,2227.45,,1,,0.0
2023-07-20,,,2219.68,2225.7,2199.98,2224.52,,1,,0.0
2023-07-19,,,2262.24,2263.32,2234.59,2235.75,,1,,0.0
2023-07-18,,,2252.39,2259.58,2239.62,2258.83,,1,,0.0
2023-07-17,,,2233.24,2244.24,2225.85,2243.13,,1,,0.0
2023-07-14,,,2257.49,2259.27,2243.04,2248.08,,1,,0.0
2023-07-13,,,2263.48,2270.5,2254.84,2261.2,,1,,0.0
2023-07-12,,,2252.17,2266.27,2239.16,2264.21,,1,,0.0
2023-07-11,,,2253.4,2253.4,2231.26,2247.96,,1,,0.0
2023-07-10,,,2239.27,2247.93,2228.7,2243.79,,1,,0.0
2023-07-07,,,2237.64,2254.68,2227.33,2246.19,,1,,0.0
2023-07-06,,,2264.75,2270.18,2229.36,2238.51,,1,,0.0
2023-07-05,,,2284.66,2296.76,2274.44,2279.42,,1,,0.0
2023-07-04,,,2295.77,2301.84,2290.29,2295.93,,1,,0.0
2023-07-03,,,2312.83,2316.34,2294.59,2294.59,,1,,0.0
2023-06-30,,,2291.15,2314.18,2290.61,2309.9,,1,,0.0
2023-06-29,,,2259.15,2292.5,2259.05,2284.77,,1,,0.0
2023-06-28,,,2257.04,2268.46,2254.69,2262.07,,1,,0.0
2023-06-27,,,2240.03,2244.62,2220.87,2244.6,,1,,0.0
2023-06-26,,,2224.07,2240.29,2205.37,2238.5,,1,,0.0
2023-06-22,,,2246.03,2246.03,2224.29,2235.41,,1,,0.0
2023-06-21,,,2276.86,2280.03,2258.77,2265.63,,1,,0.0
2023-06-20,,,2287.93,2290.23,2276.95,2281.16,,1,,0.0
2023-06-19,,,2310.8,2312.47,2289.58,2292.68,,1,,0.0
2023-06-16,,,2321.29,2326.12,2311.23,2322.64,,1,,0.0
2023-06-15,,,2306.27,2317.44,2292.55,2310.66,,1,,0.0
2023-06-14,,,2315.09,2315.23,2303.69,2312.75,,1,,0.0
2023-06-13,,,2319.38,2325.57,2308.98,2320.96,,1,,0.0
2023-06-12,,,2311.23,2315.54,2295.17,2299.5,,1,,0.0
2023-06-09,,,2307.05,2309.13,2292.92,2301.98,,1,,0.0
2023-06-08,,,2299.42,2311.53,2295.46,2302.98,,1,,0.0
2023-06-07,,,2299.93,2311.8,2299.86,2305.36,,1,,0.0
